"agency_id","agency_name","address","city","state","zip_code","coordinate_source","latitude","longitude","matched_label","manual_check_reason"
"cm7a0bgos041tewvggfowusiy","WINK POLICE DEPT.","303 East Hendricks Blvd","Wink","TX","79787-0397","place_centroid","31.7532892","-103.1559679","Wink, Winkler County, Texas, 79789, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgos043iewvgvmkq3qth","WOOD CO. CONST. PCT. 4","P.O.  BOX 933","WINNSBORO","TX","75494","place_centroid","32.9573449","-95.2902224","Winnsboro, Wood County, Texas, 75494, United States","Review: coordinate uses place centroid."
"cm7a0bgom030wewvge6c2zzim","SMITH CO. CONST. PCT. 4","14152 HWY 155 N","WINONA","TX","75792-0318","place_centroid","32.4905867","-95.1668934","Winona, Smith County, Texas, 75792, United States","Review: coordinate uses place centroid."
"cm7a0bgoa00vxewvgss65a1wd","HOCKLEY CO. CONST. PCT. 4","601 Brownlee","WITHARRAL","TX","79380","zip_centroid","33.7354","-102.3419","79380 Whitharral, Texas","Review: coordinate uses ZIP centroid."
"cm7a0bgoi02a9ewvgkbro2fze","Woden I.S.D. Police Dept.","P.O. Box 100","Woden","TX","75978","place_centroid","31.5032387","-94.5265962","Woden, Nacogdoches County, Texas, 75978, United States","Review: coordinate uses place centroid."
"cm7a0bgoa010xewvgcthksa0w","HUNT CO. CONST. PCT. 3","P. O. BOX 63","Wolfe City","TX","75496","place_centroid","33.3686687","-96.0712987","Wolfe City, Hunt County, Texas, 75496, United States","Review: coordinate uses place centroid."
"cm7a0bgob011uewvgrbfwdpbe","WOLFE CITY POLICE DEPT.","PO BOX 106","WOLFE CITY","TX","75496-0106","place_centroid","33.3688246","-96.0712087","Wolfe City, Hunt County, Texas, 75496, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgok02qpewvgd7fnxgcx","REFUGIO CO. CONST. PCT.1 & 1A","P.O. Box 565","Woodsboro","TX","78393","place_centroid","28.2382871","-97.3243804","Woodsboro, Refugio County, Texas, 78393, United States","Review: coordinate uses place centroid."
"cm7a0bgok02qxewvgm4rtdtr4","WOODSBORO POLICE DEPT.","P.O. BOX 632","WOODSBORO","TX","78393-0632","place_centroid","28.2381379","-97.3244811","Woodsboro, Refugio County, Texas, 78393, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgop03jtewvg9xht01wl","TYLER CO. CONST. PCT. 2","PO Box 51","Woodville","TX","75979","place_centroid","30.7770894","-94.4185051","Woodville, Tyler County, Texas, United States","Review: coordinate uses place centroid."
"cm76wpxbd026rvrvgy4au7ewy","WORTHAM POLICE DEPT.","P.O. BOX 186","Wortham","TX","76693-0186","place_centroid","31.7879419","-96.4624814","Wortham, Freestone County, Texas, United States","Review: coordinate uses place centroid."
